frame_id,class_name,count,total_objects
frame_17,coke_v_big,5,63
frame_17,pepsi_med,7,63
frame_17,sprite_small,4,63
frame_17,coke_med,5,63
frame_17,coke_small,6,63
frame_17,kick_med,3,63
frame_17,coke_v_med,3,63
frame_17,pepsi_big,3,63
frame_17,dew_med,6,63
frame_17,7up_med,2,63
frame_17,a&w_small,7,63
frame_17,fanta_straw_big,1,63
frame_17,empty,1,63
frame_18,coke_z_big,4,62
frame_18,anw_med,6,62
frame_18,coke_v_big,5,62
frame_18,pepsi_med,7,62
frame_18,sprite_small,4,62
frame_18,coke_med,5,62
frame_18,coke_small,6,62
frame_18,kick_med,4,62
frame_18,coke_v_med,3,62
frame_18,pepsi_big,3,62
frame_18,dew_med,6,62
frame_18,7up_med,2,62
frame_18,a&w_small,6,62
frame_18,fanta_straw_big,1,62
frame_19,coke_z_big,4,61
frame_19,anw_med,6,61
frame_19,coke_v_big,5,61
frame_19,pepsi_med,6,61
frame_19,sprite_small,4,61
frame_19,coke_med,5,61
frame_19,coke_small,6,61
frame_19,kick_med,3,61
frame_19,coke_v_med,3,61
frame_19,pepsi_big,3,61
frame_19,dew_med,6,61
frame_19,7up_med,2,61
frame_19,a&w_small,6,61
frame_19,fanta_straw_big,1,61
frame_19,empty,1,61
frame_20,coke_z_big,4,61
frame_20,anw_med,6,61
frame_20,coke_v_big,5,61
frame_20,pepsi_med,6,61
frame_20,sprite_small,4,61
frame_20,coke_med,5,61
frame_20,coke_small,6,61
frame_20,kick_med,4,61
frame_20,coke_v_med,3,61
frame_20,pepsi_big,3,61
frame_20,dew_med,6,61
frame_20,7up_med,2,61
frame_20,a&w_small,6,61
frame_20,fanta_straw_big,1,61
frame_21,coke_z_big,4,62
frame_21,anw_med,6,62
frame_21,coke_v_big,5,62
frame_21,pepsi_med,7,62
frame_21,sprite_small,4,62
frame_21,coke_med,5,62
frame_21,coke_small,6,62
frame_21,kick_med,4,62
frame_21,coke_v_med,3,62
frame_21,pepsi_big,3,62
frame_21,dew_med,6,62
frame_21,7up_med,2,62
frame_21,a&w_small,6,62
frame_21,fanta_straw_big,1,62
frame_22,coke_z_big,4,64
frame_22,anw_med,6,64
frame_22,coke_v_big,5,64
frame_22,pepsi_med,7,64
frame_22,sprite_small,4,64
frame_22,coke_med,5,64
frame_22,coke_small,6,64
frame_22,kick_med,4,64
frame_22,coke_v_med,3,64
frame_22,pepsi_big,3,64
frame_22,dew_med,6,64
frame_22,7up_med,3,64
frame_22,a&w_small,7,64
frame_22,fanta_straw_big,1,64
frame_23,coke_z_big,4,62
frame_23,anw_med,6,62
frame_23,coke_v_big,5,62
frame_23,pepsi_med,6,62
frame_23,sprite_small,4,62
frame_23,coke_med,5,62
frame_23,coke_small,6,62
frame_23,kick_med,4,62
frame_23,coke_v_med,3,62
frame_23,pepsi_big,2,62
frame_23,dew_med,6,62
frame_23,7up_med,3,62
frame_23,a&w_small,7,62
frame_23,fanta_straw_big,1,62
frame_24,coke_z_big,4,63
frame_24,anw_med,6,63
frame_24,coke_v_big,5,63
frame_24,pepsi_med,6,63
frame_24,sprite_small,4,63
frame_24,coke_med,5,63
frame_24,coke_small,6,63
frame_24,kick_med,3,63
frame_24,coke_v_med,3,63
frame_24,pepsi_big,3,63
frame_24,dew_med,6,63
frame_24,7up_med,3,63
frame_24,a&w_small,7,63
frame_24,fanta_straw_big,1,63
frame_24,empty,1,63
frame_25,coke_z_big,4,64
frame_25,anw_med,6,64
frame_25,coke_v_big,5,64
